ros_time_sec,fx,fy,fz
1760630721.465262,0.035420387,0.007490560,-0.019326180
1760630721.467247,0.073216387,0.026513560,-0.022911180
1760630721.469256,0.058401387,0.007136560,-0.019035180
1760630721.471263,0.065897387,-0.001170440,-0.019796180
1760630721.473305,0.027903387,0.008256560,-0.024161180
1760630721.475261,0.058122387,0.019987560,-0.022143180
1760630721.477258,0.050958387,0.016226560,-0.024436180
1760630721.479288,0.050808387,0.007761560,-0.019333180
1760630721.481292,0.050660387,0.008011560,-0.019240180
1760630721.483265,0.050308387,0.024270560,-0.014949180
1760630721.485281,0.013227387,0.021527560,-0.036962180
1760630721.487285,0.035040387,0.022863560,-0.014779180
1760630721.489298,0.027736387,0.021281560,-0.024403180
1760630721.491295,0.027323387,0.012539560,-0.002072180
1760630721.493291,0.058268387,0.015380560,-0.019731180
1760630721.495264,0.080784387,0.012239560,-0.007261180
1760630721.497298,0.042663387,0.022315560,-0.009369180
1760630721.499298,0.035836387,-0.005701440,-0.036184180
1760630721.501301,0.066079387,0.008535560,-0.024136180
1760630721.503289,0.050869387,0.008268560,-0.029110180
1760630721.505306,0.027974387,0.003683560,-0.027212180
1760630721.507291,0.073113387,0.022292560,-0.019962180
1760630721.509298,0.034850387,0.003500560,0.007645820
1760630721.511294,0.027675387,0.026929560,-0.016846180
1760630721.513294,0.043028387,0.028563560,-0.022699180
1760630721.515302,0.034906387,0.020186560,-0.006657180
1760630721.517300,0.065737387,0.016522560,-0.014962180
1760630721.519323,0.042875387,0.008189560,-0.014429180
1760630721.521315,0.035180387,0.002798560,-0.012062180
1760630721.523327,0.035611387,0.007936560,-0.024435180
1760630721.525311,0.013289387,0.021050560,-0.031371180
1760630721.527328,0.035340387,0.035436560,-0.022481180
1760630721.529315,0.027469387,0.007931560,0.000339820
1760630721.531329,0.035569387,0.011597560,-0.021924180
1760630721.533331,0.035230387,0.024930560,-0.009603180
1760630721.535315,0.043274387,-0.004811440,-0.026526180
1760630721.537334,0.050218387,0.010969560,-0.001750180
1760630721.539307,0.013182387,0.016474560,-0.029441180
1760630721.541334,0.035716387,0.007166560,-0.029513180
1760630721.543338,0.081441387,0.024996560,-0.034927180
1760630721.545340,0.020271387,0.009937560,-0.016866180
1760630721.547343,0.050282387,0.030935560,-0.015355180
1760630721.549348,0.042874387,0.003832560,-0.011924180
1760630721.551347,0.020268387,0.016724560,-0.014453180
1760630721.553358,0.073554387,0.020955560,-0.027166180
1760630721.555332,0.020303387,0.014548560,-0.024260180
1760630721.557328,0.005442387,0.021706560,-0.032151180
1760630721.559335,0.042892387,0.011193560,-0.017346180
1760630721.561341,0.058066387,0.003301560,-0.007840180
1760630721.563356,0.027870387,0.030924560,-0.019093180
1760630721.565349,0.050777387,0.007507560,-0.014444180
1760630721.567424,0.012243387,0.039490560,-0.004704180
1760630721.569352,0.012699387,0.023446560,-0.029441180
1760630721.571421,0.042461387,0.016391560,0.000300820
1760630721.573357,0.066009387,0.020659560,-0.021746180
1760630721.575399,0.035216387,0.020306560,-0.016971180
1760630721.577432,0.043393387,-0.000957440,-0.024236180
1760630721.579338,0.058029387,0.011676560,-0.006816180
1760630721.581368,0.050347387,0.011893560,-0.012449180
1760630721.583349,0.050306387,0.029260560,-0.012820180
1760630721.585367,0.058310387,0.011718560,-0.022242180
1760630721.587351,0.050225387,0.043501560,-0.013093180
1760630721.589364,0.027172387,0.007267560,0.004874820
1760630721.591365,0.050664387,0.024277560,-0.024912180
1760630721.593376,0.058516387,0.007441560,-0.019606180
1760630721.595397,0.035979387,-0.003522440,-0.031359180
1760630721.597394,0.050626387,0.008390560,-0.009718180
1760630721.599398,0.020834387,0.011998560,-0.036415180
1760630721.601422,0.050675387,0.006657560,-0.019652180
1760630721.603386,0.043035387,-0.009503440,-0.019263180
1760630721.605377,0.013298387,0.004238560,-0.031479180
1760630721.607409,0.065423387,0.006699560,-0.005289180
1760630721.609401,0.005654387,0.015988560,-0.028782180
1760630721.611430,0.005337387,0.012952560,-0.016696180
1760630721.613428,0.050685387,0.007732560,-0.015146180
1760630721.615428,0.035160387,0.031075560,-0.014994180
1760630721.617424,0.043568387,-0.009669440,-0.024207180
1760630721.619413,0.066262387,0.019815560,-0.036918180
1760630721.621392,0.066032387,0.002494560,-0.022266180
1760630721.623434,0.051064387,0.008082560,-0.038853180
1760630721.625429,0.051193387,-0.009864440,-0.038798180
1760630721.627389,0.035770387,0.026869560,-0.031971180
1760630721.629406,0.043399387,0.007125560,-0.033880180
1760630721.631407,0.035266387,-0.000343440,-0.009589180
1760630721.633416,0.050661387,0.015562560,-0.019902180
1760630721.635430,0.073376387,0.011604560,-0.021808180
1760630721.637429,0.013348387,0.017199560,-0.038643180
1760630721.639406,0.012761387,0.022968560,-0.023850180
1760630721.641427,0.013224387,0.012812560,-0.031952180
1760630721.643419,-0.009364613,0.008616560,-0.038204180
1760630721.645434,0.027773387,0.033577560,-0.014877180
1760630721.647407,0.095796387,0.027252560,-0.007356180
1760630721.649435,-0.002298613,0.003710560,-0.021602180
1760630721.651417,0.019663387,0.024655560,-0.004614180
1760630721.653416,0.035572387,0.020313560,-0.026934180
1760630721.655411,0.027870387,0.006838560,-0.014924180
1760630721.657412,0.012382387,0.018437560,-0.007639180
1760630721.659423,0.058060387,0.011929560,-0.011704180
1760630721.661449,0.096180387,0.024951560,-0.019418180
1760630721.663423,0.043156387,0.012413560,-0.022360180
1760630721.665408,0.027910387,0.031264560,-0.025128180
1760630721.667450,0.096209387,0.014693560,-0.019581180
1760630721.669440,0.043207387,0.006502560,-0.018770180
1760630721.671451,0.043142387,0.002446560,-0.011855180
1760630721.673437,0.027859387,0.020277560,-0.027679180
1760630721.675468,0.028569387,-0.000153440,-0.028409180
1760630721.677470,0.050540387,0.003980560,-0.011530180
1760630721.679441,0.034841387,0.028847560,-0.008275180
1760630721.681520,0.073549387,0.003700560,-0.027147180
1760630721.683454,0.042918387,-0.004818440,-0.016563180
1760630721.685505,0.012384387,0.028948560,-0.012364180
1760630721.687508,0.073702387,0.002010560,-0.026506180
1760630721.689506,-0.002276613,0.014621560,-0.024162180
1760630721.691478,0.027788387,0.015325560,-0.014251180
1760630721.693444,0.050957387,0.011869560,-0.021931180
1760630721.695483,0.058577387,0.012129560,-0.021888180
1760630721.697462,0.042563387,0.006906560,0.000233820
1760630721.699463,0.042817387,-0.006654440,-0.006403180
1760630721.701472,0.058353387,0.012238560,-0.017257180
1760630721.703453,0.035570387,0.025303560,-0.024806180
1760630721.705501,0.088126387,0.006656560,-0.009573180
